Variable,Data Type ,Description,Context,Reference,Relevancy to Analysis
FSH(mIU/mL),Integer,Follicle-stimulating Hormone measured in milli-international units per milliliter.,"In women, FSH helps control the menstrual cycle and stimulates egg growth. Adult males have 1.5 to 12.4 mIU/mL. Adult women 4.7 to 21.5 mIU/mL. ",Mount Sinai,Medium
LH(mIU/mL),Integer,Luteinizing Hormone measured in milli-international units per milliliter.,"LH will increase mid-cycle in women which causes the release of eggs. In women before menopuase, the normal range is 5 to 25 IU/L. In adult men (over 18 years of age), the normal range is 1.8 to 8.6 IU/L. ",Mount Sinai,Medium
FSH/LH ,Integer,Follicle-stimulating Hormone divided by Luteinizing Hormone. ,"This particular ratio is used to be a predictor of ovarian reserve. If the ratio > 3.0, women have higher cancellation rates of IVF treatments. ",Sage Journals,Medium
Hip(inch),Integer,Hips measured in inches. ,,,Medium
Waist(inch),Integer,Measured in inches. ,,,Low 
Waist:Hip Ratio,Integer,Waist measurement divided by hip measurement.,,,Low 
TSH (mIU/L),Integer,Thyroid Stimulating Hormone measured in milli-international units per liter.,Thyroid disease can be a cause of infertility. Normal values are from 0.4 to 4.0 mIU/L for those with no symptoms. ,UCLA Health,Low 
AMH(ng/mL),Integer,Anti-Mullerian Hormone measured in Nanograms per milliliter. ,"AMH tells you the number of remaining eggs you have. Normal levels vary depend on age. For women, the average range is between 1.0 to 3.0.",Cleveland Clinic,Medium
PRL(ng/mL),Integer,Prolactin levels measured in Nanograms per milliliter. ,"Prolactin is a hormore release by the pituitary gland which regulates the body's balance of many hormones and used to supplement the diagnosis of infertility. Normal results in men are less than 20 ng/mL, non-pregnant women less than 25 ng/mL, and pregnant women range from 80 to 400 ng/mL. ",UCSF Health,Medium
Vit D3 (ng/mL),Integer,Vitamin D3 measured in Nanograms per milliliter.,"Vitamin D screening is done for people who are at high risk for vitamin D deficiency, including people that are obese. The recommended range is between 20 and 40 ng/mL.",Mount Sinai,Medium
PRG(ng/mL),Integer,Progesterone levels measured in Nanograms per milliliter. ,Progesterone is a hormone produced after ovulation which prepares the uterus for a fertilized egg to be implanted. Levels vary depending on when the test is done. ,UCSF Health,Medium
RBS(mg/dl),Integer,Random blood sugar test measured in milligrams per deciliter. ,Blood sugar level less than 140 mg/dL is normal. If more than 200 mg/dL means that you have diabetes. ,Mayo Clinic,High
Weight gain(Y/N),Boolean ,True indicates gained weight. False indicates no weight gained. ,Possible PCOS Symptom ,Cleveland Clinic,Medium
hair growth(Y/N),Boolean ,True indicates hair growth. False indicates no hair growth. ,Possible PCOS Symptom ,Mayo Clinic,Medium
Skin darkening (Y/N),Boolean ,True indicates skin darkening. False indicates no skin darkening. ,Possible PCOS Symptom ,Harvard Health,Medium
Hair loss(Y/N),Boolean ,True indicates hair loss. False indicates no hair loss.,Possible PCOS Symptom ,Harvard Health,Medium
Acne (Y/N) ,Boolean ,True indicates acne. False indicates no acne.,Possible PCOS Symptom ,Harvard Health,Medium
Reg.Exercise(Y/N),Boolean ,True indicates patient exercises for more than 30 minutes 3 or more times a week. False indicates patient exercises less than 3 times a week. ,Exercise may help reduce PCOS symptoms. ,PubMed.gov,Medium
BP _Systolic (mmHg),Integer,Pressure exerted when blood is ejected into arteries measured in millimeters of mercury. ,Should be below 120 mm/Hg,Mayo Clinic,Medium
BP _Diastolic (mmHg),Integer,Pressure blood exerts within arteries between heartbeats measured in millimeters of mercury.,Should be below 80 mm/Hg,Mayo Clinic,Medium
Follicle No. (L),Integer,Number of follicles found in the left ovary.,"Follicles are small fluid filled sacs in the ovaries that contain an unfertilized egg. Follicle counts vary based on age, as they decline with age, but 22-35 follicles are considered normal counts. ",Advanced Fertility Center of Chicago,Low 
Follicle No. (R),Integer,Number of follicles found in the right ovary.,"Follicles are small fluid filled sacs in the ovaries that contain an unfertilized egg. Follicle counts vary based on age, as they decline with age, but 22-35 follicles are considered normal counts. ",Advanced Fertility Center of Chicago,Low 
Avg. F size (L) (mm),Integer,Mean follicle size in the left ovary measured in millimeters. ,Follicles that are between 16 - 23 mm are considered to be mature follicles and will release an egg for ovulation. ,National Library of Medicine,Low 
Avg. F size (R) (mm),Integer,Mean follicle size in the right ovary measured in millimeters. ,Follicles that are between 16 - 23 mm are considered to be mature follicles and will release an egg for ovulation. ,National Library of Medicine,Low 
Endometrium (mm),Integer,The lining of the uterus measured in millimeters.  ,"In one study, median Endometrial thickness (ET) was 8.6 mm and was not related to their age or obstetric history. ",National Library of Medicine,Low 
Infertility,Boolean ,True indicates patient has been diagnosed with infertility. False indicates patient has not been diagnosed with infertility. ,PCOS is a known common cause of infertility.,WomensHealth.gov,High
Blood Pressure (str),String,BP_Systolic (mmHg) / BP_Diastolic (mmHg),"BP_Systolic and BP_Diastolic are provided as separate variables in the data set. However, it is common place to have both of these values together as a ratio for readings. Normal blood pressure is below or at 120/80. ",Clevland Clinic,Low 
Height (m),Integer,Height converted to meters for BMI calculation in the dataset. ,,,
